bench,side,tag,microbe,pH,chloro1,chloro2,leaf,height,disease,yellow
2,left,107,live,neutral,31.3,33.5,17,5,no,no
3,left,110,live,neutral,30.65,32.9,17,6.25,yes,no
4,left,150,live,acidic,34.75,34.7,18,6.5,no,no
7,left,141,live,acidic,23.25,33.7,14,5,no,no
8,left,149,live,acidic,23.45,36.3,14,5,no,no
10,left,101,live,neutral,28.3,33.6,14,5,no,no
12,left,109,live,neutral,33.25,36.4,23,6.5,no,no
13,left,102,live,neutral,23.95,30.1,14,4.25,no,no
14,left,104,live,neutral,33.2,36.6,20,5,no,no
16,left,143,live,acidic,33.4,32.5,23,6.5,no,no
17,left,106,live,neutral,30.1,31.5,17,6,no,no
19,left,145,live,acidic,31.65,36.8,14,5.75,no,no
20,left,147,live,acidic,24.2,32.7,17,5,no,no
22,left,148,live,acidic,28,39.6,14,5,no,no
26,left,108,live,neutral,33.15,39.6,14,5.5,no,no
27,left,124,dead,acidic,27.85,28,11,5.25,yes,no
31,left,105,live,neutral,30.9,34,17,6.5,no,no
32,left,146,live,acidic,25.45,30.5,14,5.75,no,no
33,left,144,live,acidic,37.65,37.9,17,6.5,no,no
38,left,82,dead,neutral,24,31.5,17,5,no,no
39,left,142,live,acidic,29.65,34.7,20,4.5,yes,no
41,right,113,live,neutral,33.35,32.3,20,5.75,no,no
42,right,158,live,acidic,26.55,37.6,20,5,no,no
45,right,120,live,neutral,34.5,34.6,17,6.5,no,no
47,right,155,live,acidic,25.9,34.3,17,6,no,no
53,right,115,live,neutral,31.8,35.6,20,5.5,no,no
54,right,114,live,neutral,31.1,39.2,17,5,no,no
55,right,111,live,neutral,31.6,38.6,20,6,yes,no
56,right,159,live,acidic,18.8,32.6,14,4,yes,no
57,right,118,live,neutral,31.3,36.3,15,6,no,no
60,right,117,live,neutral,27.55,33.5,17,5.3,no,no
61,right,157,live,acidic,28.25,33.1,17,5.75,no,no
62,right,151,live,acidic,25.9,34.3,14,5,no,no
63,right,116,live,neutral,30.55,35.8,14,6.5,no,no
64,right,160,live,acidic,27.65,32.6,20,6.5,no,no
65,right,152,live,acidic,30.85,37,23,5.75,no,no
68,right,153,live,acidic,32.5,33.4,14,5.5,no,no
71,right,119,live,neutral,27.55,35.7,17,7,no,no
73,right,156,live,acidic,25.85,31.7,14,4.5,no,no
76,right,154,live,acidic,29.9,29.3,17,6,yes,no
80,right,112,live,neutral,30.9,29,17,6,yes,no
1,left,121,dead,acidic,24.5,22.6,11,4.3,yes,yes
5,left,81,dead,neutral,20.1,27.4,8,3.5,yes,yes
6,left,85,dead,neutral,22.05,23.9,11,4,yes,yes
9,left,84,dead,neutral,29.35,21.1,8,5.75,yes,yes
11,left,103,live,neutral,28.15,28.9,20,6,yes,yes
15,left,90,dead,neutral,24.8,19.3,11,5,yes,yes
18,left,125,dead,acidic,18.4,26.3,8,4.5,no,yes
21,left,126,dead,acidic,30.7,29.3,18,4,yes,yes
23,left,123,dead,acidic,23.1,22.3,8,4.5,yes,yes
24,left,88,dead,neutral,22,13.2,8,4.5,yes,yes
25,left,89,dead,neutral,25.55,28.5,11,4,yes,yes
28,left,86,dead,neutral,23.55,25.6,11,5,yes,yes
29,left,130,dead,acidic,30.2,16,11,4,yes,yes
30,left,87,dead,neutral,32.7,21.1,11,4.25,no,yes
34,left,122,dead,acidic,26.5,15.9,8,4,no,yes
35,left,127,dead,acidic,31.15,22.4,11,4.75,yes,yes
36,left,83,dead,neutral,32.55,22.7,11,4.5,yes,yes
37,left,129,dead,acidic,28.6,21.4,11,4.75,yes,yes
40,left,128,dead,acidic,23.55,18,8,4,yes,yes
43,right,98,dead,neutral,12.8,16,11,4.5,yes,yes
44,right,138,dead,acidic,21.95,19.8,11,4,yes,yes
46,right,92,dead,neutral,23.5,22.7,8,4.75,yes,yes
48,right,133,dead,acidic,31.1,21.9,14,4.75,no,yes
49,right,94,dead,neutral,28.1,20.9,8,4.75,no,yes
50,right,135,dead,acidic,25.85,19.9,8,4.5,yes,yes
51,right,97,dead,neutral,25.7,17.7,8,4.5,yes,yes
52,right,96,dead,neutral,31.35,18.2,11,4.5,yes,yes
58,right,131,dead,acidic,19.55,20.9,8,3.75,yes,yes
59,right,93,dead,neutral,36.3,18.8,11,4.5,no,yes
66,right,95,dead,neutral,28.2,25.3,9,4.5,yes,yes
67,right,137,dead,acidic,22.6,20.8,11,5,yes,yes
69,right,139,dead,acidic,22.25,21.4,11,4.5,yes,yes
70,right,140,dead,acidic,22.5,28.7,12,5.9,yes,yes
72,right,91,dead,neutral,22.4,17.9,11,6,yes,yes
74,right,99,dead,neutral,18.3,24,11,4,yes,yes
75,right,134,dead,acidic,21.4,26.3,8,4,yes,yes
77,right,136,dead,acidic,26.3,19.1,11,4.75,yes,yes
78,right,100,dead,neutral,16.4,20,8,3.5,yes,yes
79,right,132,dead,acidic,20.6,22.2,5,3.5,yes,yes
