bench,side,tag,microbe,pH,chloro1,chloro2,leaf,height,disease,yellow
27,left,124,dead,acidic,27.85,28,11,5.25,yes,no
38,left,82,dead,neutral,24,31.5,17,5,no,no
1,left,121,dead,acidic,24.5,22.6,11,4.3,yes,yes
5,left,81,dead,neutral,20.1,27.4,8,3.5,yes,yes
6,left,85,dead,neutral,22.05,23.9,11,4,yes,yes
9,left,84,dead,neutral,29.35,21.1,8,5.75,yes,yes
15,left,90,dead,neutral,24.8,19.3,11,5,yes,yes
18,left,125,dead,acidic,18.4,26.3,8,4.5,no,yes
21,left,126,dead,acidic,30.7,29.3,18,4,yes,yes
23,left,123,dead,acidic,23.1,22.3,8,4.5,yes,yes
24,left,88,dead,neutral,22,13.2,8,4.5,yes,yes
25,left,89,dead,neutral,25.55,28.5,11,4,yes,yes
28,left,86,dead,neutral,23.55,25.6,11,5,yes,yes
29,left,130,dead,acidic,30.2,16,11,4,yes,yes
30,left,87,dead,neutral,32.7,21.1,11,4.25,no,yes
34,left,122,dead,acidic,26.5,15.9,8,4,no,yes
35,left,127,dead,acidic,31.15,22.4,11,4.75,yes,yes
36,left,83,dead,neutral,32.55,22.7,11,4.5,yes,yes
37,left,129,dead,acidic,28.6,21.4,11,4.75,yes,yes
40,left,128,dead,acidic,23.55,18,8,4,yes,yes
43,right,98,dead,neutral,12.8,16,11,4.5,yes,yes
44,right,138,dead,acidic,21.95,19.8,11,4,yes,yes
46,right,92,dead,neutral,23.5,22.7,8,4.75,yes,yes
48,right,133,dead,acidic,31.1,21.9,14,4.75,no,yes
49,right,94,dead,neutral,28.1,20.9,8,4.75,no,yes
50,right,135,dead,acidic,25.85,19.9,8,4.5,yes,yes
51,right,97,dead,neutral,25.7,17.7,8,4.5,yes,yes
52,right,96,dead,neutral,31.35,18.2,11,4.5,yes,yes
58,right,131,dead,acidic,19.55,20.9,8,3.75,yes,yes
59,right,93,dead,neutral,36.3,18.8,11,4.5,no,yes
66,right,95,dead,neutral,28.2,25.3,9,4.5,yes,yes
67,right,137,dead,acidic,22.6,20.8,11,5,yes,yes
69,right,139,dead,acidic,22.25,21.4,11,4.5,yes,yes
70,right,140,dead,acidic,22.5,28.7,12,5.9,yes,yes
72,right,91,dead,neutral,22.4,17.9,11,6,yes,yes
74,right,99,dead,neutral,18.3,24,11,4,yes,yes
75,right,134,dead,acidic,21.4,26.3,8,4,yes,yes
77,right,136,dead,acidic,26.3,19.1,11,4.75,yes,yes
78,right,100,dead,neutral,16.4,20,8,3.5,yes,yes
79,right,132,dead,acidic,20.6,22.2,5,3.5,yes,yes
