bench,side,tag,microbe,pH,chloro1,chloro2,leaf,height,disease,yellow
2,left,107,live,neutral,31.3,33.5,17,5,no,no
3,left,110,live,neutral,30.65,32.9,17,6.25,yes,no
4,left,150,live,acidic,34.75,34.7,18,6.5,no,no
7,left,141,live,acidic,23.25,33.7,14,5,no,no
8,left,149,live,acidic,23.45,36.3,14,5,no,no
10,left,101,live,neutral,28.3,33.6,14,5,no,no
12,left,109,live,neutral,33.25,36.4,23,6.5,no,no
13,left,102,live,neutral,23.95,30.1,14,4.25,no,no
14,left,104,live,neutral,33.2,36.6,20,5,no,no
16,left,143,live,acidic,33.4,32.5,23,6.5,no,no
17,left,106,live,neutral,30.1,31.5,17,6,no,no
19,left,145,live,acidic,31.65,36.8,14,5.75,no,no
20,left,147,live,acidic,24.2,32.7,17,5,no,no
22,left,148,live,acidic,28,39.6,14,5,no,no
26,left,108,live,neutral,33.15,39.6,14,5.5,no,no
31,left,105,live,neutral,30.9,34,17,6.5,no,no
32,left,146,live,acidic,25.45,30.5,14,5.75,no,no
33,left,144,live,acidic,37.65,37.9,17,6.5,no,no
39,left,142,live,acidic,29.65,34.7,20,4.5,yes,no
41,right,113,live,neutral,33.35,32.3,20,5.75,no,no
42,right,158,live,acidic,26.55,37.6,20,5,no,no
45,right,120,live,neutral,34.5,34.6,17,6.5,no,no
47,right,155,live,acidic,25.9,34.3,17,6,no,no
53,right,115,live,neutral,31.8,35.6,20,5.5,no,no
54,right,114,live,neutral,31.1,39.2,17,5,no,no
55,right,111,live,neutral,31.6,38.6,20,6,yes,no
56,right,159,live,acidic,18.8,32.6,14,4,yes,no
57,right,118,live,neutral,31.3,36.3,15,6,no,no
60,right,117,live,neutral,27.55,33.5,17,5.3,no,no
61,right,157,live,acidic,28.25,33.1,17,5.75,no,no
62,right,151,live,acidic,25.9,34.3,14,5,no,no
63,right,116,live,neutral,30.55,35.8,14,6.5,no,no
64,right,160,live,acidic,27.65,32.6,20,6.5,no,no
65,right,152,live,acidic,30.85,37,23,5.75,no,no
68,right,153,live,acidic,32.5,33.4,14,5.5,no,no
71,right,119,live,neutral,27.55,35.7,17,7,no,no
73,right,156,live,acidic,25.85,31.7,14,4.5,no,no
76,right,154,live,acidic,29.9,29.3,17,6,yes,no
80,right,112,live,neutral,30.9,29,17,6,yes,no
11,left,103,live,neutral,28.15,28.9,20,6,yes,yes
